iter	Passed	Remaining
461	782	911
462	786	911
463	787	910
464	789	908
465	791	906
466	792	904
467	793	902
468	794	900
469	796	897
470	797	895
471	798	893
472	800	891
473	801	889
474	802	887
475	803	885
476	805	882
477	806	880
478	807	878
479	808	876
480	809	873
481	811	871
482	812	869
483	813	867
484	815	865
485	816	864
486	818	862
487	819	859
488	820	857
489	822	855
490	823	853
491	825	851
492	826	849
493	827	847
494	828	845
495	830	843
496	831	841
497	832	839
498	834	837
499	835	835
500	836	833
501	838	831
502	839	829
503	840	827
504	842	825
505	843	823
506	845	821
507	846	820
508	848	818
509	849	815
510	850	813
511	851	811
512	853	809
513	854	807
514	855	805
515	856	803
516	858	801
517	859	799
518	860	797
519	862	795
520	863	794
521	864	791
522	865	789
523	867	787
524	868	786
525	870	784
526	871	782
527	872	780
528	873	778
529	875	776
530	876	774
531	878	772
532	879	770
533	881	769
534	882	767
535	884	765
536	885	763
537	887	761
538	889	760
539	890	758
540	892	756
541	893	755
542	895	753
543	896	751
544	898	749
545	899	747
546	900	745
547	901	743
548	902	741
549	904	740
550	905	738
551	907	736
552	908	734
553	909	732
554	911	730
555	912	728
556	913	726
557	915	724
558	916	722
559	917	720
560	918	718
561	919	716
562	920	714
563	922	713
564	924	711
565	925	709
566	926	707
567	928	705
568	929	703
569	930	701
570	931	699
571	932	697
572	933	695
573	934	693
574	936	692
575	937	690
576	938	688
577	939	686
578	941	684
579	942	682
580	943	680
581	944	678
582	945	676
583	946	674
584	948	672
585	949	670
586	950	668
587	951	667
588	953	665
589	954	663
590	955	661
591	956	659
592	957	657
593	958	655
594	959	653
595	961	651
596	962	649
597	963	647
598	964	645
599	966	644
600	967	642
601	968	640
602	969	638
603	970	636
604	971	634
605	973	632
606	974	630
607	975	628
608	976	626
609	977	625
610	979	623
611	980	621
612	981	619
613	982	617
614	983	615
615	985	614
616	986	612
617	987	610
618	988	608
619	989	606
620	991	604
621	992	603
622	993	601
623	995	599
624	996	597
625	997	596
626	998	594
627	999	592
628	1001	590
629	1002	588
630	1003	586
631	1004	584
632	1005	583
633	1007	581
634	1008	579
635	1009	577
636	1010	576
637	1012	574
638	1013	572
639	1014	570
640	1015	568
641	1016	567
642	1018	565
643	1019	563
644	1020	561
645	1021	559
646	1022	558
647	1023	556
648	1025	554
649	1026	552
650	1027	550
651	1028	549
652	1029	547
653	1031	545
654	1032	543
655	1033	541
656	1034	540
657	1035	538
658	1037	536
659	1038	535
660	1039	533
661	1041	531
662	1042	529
663	1043	528
664	1044	526
665	1045	524
666	1047	522
667	1048	520
668	1049	519
669	1050	517
670	1051	515
671	1053	514
672	1054	512
673	1055	510
674	1056	508
675	1057	507
676	1059	505
677	1060	503
678	1061	501
679	1062	499
680	1063	498
681	1064	496
682	1066	494
683	1067	493
684	1068	491
685	1069	489
686	1070	487
687	1072	486
688	1073	484
689	1074	482
690	1075	481
691	1076	479
692	1078	477
693	1079	475
694	1080	474
695	1081	472
696	1082	470
697	1084	469
698	1085	467
699	1086	465
700	1087	464
701	1089	462
702	1090	460
703	1091	459
704	1093	457
705	1094	455
706	1095	453
707	1096	452
708	1097	450
709	1099	448
710	1101	447
711	1102	446
712	1104	444
713	1105	442
714	1107	441
715	1108	439
716	1109	437
717	1110	436
718	1112	434
719	1113	432
720	1114	431
721	1115	429
722	1117	427
723	1118	426
724	1120	424
725	1121	423
726	1122	421
727	1123	419
728	1124	418
729	1126	416
730	1127	414
731	1128	413
732	1129	411
733	1130	409
734	1132	408
735	1133	406
736	1134	404
737	1135	403
738	1136	401
739	1137	399
740	1139	398
741	1140	396
742	1141	394
743	1142	393
744	1143	391
745	1145	389
746	1147	388
747	1148	387
748	1150	385
749	1151	383
750	1152	382
751	1154	380
752	1155	378
753	1156	377
754	1157	375
755	1159	374
756	1161	372
757	1163	371
758	1164	369
759	1165	368
760	1167	366
761	1168	365
762	1169	363
763	1171	361
764	1172	360
765	1174	358
766	1175	357
767	1177	355
768	1178	353
769	1179	352
770	1180	350
771	1182	349
772	1183	347
773	1184	345
774	1186	344
775	1187	342
776	1189	341
777	1190	339
778	1191	338
779	1193	336
780	1194	334
781	1196	333
782	1197	331
783	1198	330
784	1200	328
785	1201	327
786	1203	325
787	1205	324
788	1206	322
789	1207	321
790	1208	319
791	1210	317
792	1211	316
793	1213	314
794	1214	313
795	1216	311
796	1217	310
797	1218	308
798	1220	306
799	1221	305
800	1223	303
801	1224	302
802	1225	300
803	1227	299
804	1228	297
805	1229	295
806	1230	294
807	1232	292
808	1233	291
809	1235	289
810	1236	288
811	1238	286
812	1239	285
813	1240	283
814	1242	281
815	1243	280
816	1245	278
817	1246	277
818	1247	275
819	1248	274
820	1250	272
821	1251	271
822	1253	269
823	1254	267
824	1255	266
825	1256	264
826	1257	263
827	1259	261
828	1260	259
829	1261	258
830	1262	256
831	1264	255
832	1265	253
833	1266	252
834	1267	250
835	1269	248
836	1270	247
837	1271	245
838	1272	244
839	1273	242
840	1274	241
841	1276	239
842	1277	237
843	1278	236
844	1279	234
845	1281	233
846	1282	231
847	1283	230
848	1284	228
849	1286	226
850	1287	225
851	1288	223
852	1290	222
853	1291	220
854	1292	219
855	1293	217
856	1295	216
857	1296	214
858	1297	213
859	1298	211
860	1300	209
861	1301	208
862	1302	206
863	1303	205
864	1304	203
865	1306	202
866	1307	200
867	1308	199
868	1309	197
869	1311	195
870	1312	194
871	1313	192
872	1315	191
873	1316	189
874	1317	188
875	1318	186
876	1319	185
877	1320	183
878	1322	181
879	1323	180
880	1324	178
881	1326	177
882	1327	175
883	1328	174
884	1329	172
885	1331	171
886	1332	169
887	1333	168
888	1334	166
889	1335	165
890	1336	163
891	1338	162
892	1339	160
893	1340	158
894	1341	157
895	1343	155
896	1344	154
897	1345	152
898	1346	151
899	1347	149
900	1349	148
901	1350	146
902	1351	145
903	1352	143
904	1353	142
905	1355	140
906	1356	139
907	1357	137
908	1358	136
909	1360	134
910	1361	132
911	1362	131
912	1363	129
913	1364	128
914	1365	126
915	1366	125
916	1368	123
917	1369	122
918	1370	120
919	1372	119
920	1373	117
921	1374	116
922	1375	114
923	1376	113
924	1377	111
925	1378	110
926	1380	108
927	1381	107
928	1382	105
929	1383	104
930	1385	102
931	1387	101
932	1388	99
933	1389	98
934	1391	96
935	1392	95
936	1393	93
937	1394	92
938	1395	90
939	1396	89
940	1398	87
941	1399	86
942	1401	84
943	1402	83
944	1403	81
945	1404	80
946	1405	78
947	1407	77
948	1408	75
949	1409	74
950	1410	72
951	1411	71
952	1413	69
953	1414	68
954	1415	66
955	1417	65
956	1418	63
957	1419	62
958	1420	60
959	1422	59
960	1423	57
961	1424	56
962	1425	54
963	1426	53
964	1428	51
965	1429	50
966	1430	48
967	1431	47
968	1432	45
969	1433	44
970	1435	42
971	1436	41
972	1437	39
973	1438	38
974	1439	36
975	1441	35
976	1442	33
977	1444	32
978	1445	31
979	1447	29
980	1448	28
981	1450	26
982	1451	25
983	1453	23
984	1454	22
985	1455	20
986	1456	19
987	1457	17
988	1459	16
989	1460	14
990	1461	13
991	1462	11
992	1464	10
993	1465	8
994	1466	7
995	1467	5
996	1469	4
997	1470	2
998	1471	1
999	1472	0
